County,Fips,Lat,Long
Cheatham,47021,36.2611,-87.0867
Chester,47023,35.4217,-88.6135
Claiborne,47025,36.4859,-83.6604
Clay,47027,36.5511,-85.5439
Cocke,47029,35.9254,-83.1212
Coffee,47031,35.4906,-86.0748
Crockett,47033,35.8135,-89.1395
Cumberland,47035,35.9504,-84.9984
Davidson,47037,36.1695,-86.7848
Decatur,47039,35.603,-88.1088
DeKalb,47041,35.9799,-85.8328
Dickson,47043,36.149,-87.3567
Dyer,47045,36.0591,-89.4138
Fayette,47047,35.1971,-89.4144
Fentress,47049,36.3805,-84.9324
Franklin,47051,35.155,-86.0922
Gibson,47053,35.9966,-88.9326
Giles,47055,35.2021,-87.0348
Grainger,47057,36.2763,-83.5096
Greene,47059,36.1753,-82.8458
Grundy,47061,35.3884,-85.7226
Hamblen,47063,36.2171,-83.2667
Hamilton,47065,35.1808,-85.1648
Hancock,47067,36.5236,-83.2219
Hardeman,47069,35.2068,-88.9931
Hardin,47071,35.1987,-88.1845
Hawkins,47073,36.4412,-82.9447
Haywood,47075,35.5832,-89.2838
Henderson,47077,35.6542,-88.388
Henry,47079,36.3318,-88.3013
Hickman,47081,35.8032,-87.4733
Houston,47083,36.286,-87.717
Humphreys,47085,36.0408,-87.7756
Jackson,47087,36.3592,-85.6732
Jefferson,47089,36.051,-83.4463
Johnson,47091,36.4549,-81.8518
Knox,47093,35.9932,-83.9371
Lake,47095,36.3352,-89.4935
Lauderdale,47097,35.761,-89.6315
Lawrence,47099,35.2173,-87.3956
Lewis,47101,35.5273,-87.4931
Lincoln,47103,35.1405,-86.589
Loudon,47105,35.7348,-84.3118
McMinn,47107,35.4248,-84.6175
McNairy,47109,35.1755,-88.5636
Macon,47111,36.532,-86.0073
Madison,47113,35.6081,-88.8385
Marion,47115,35.1293,-85.622
Marshall,47117,35.4689,-86.765
Maury,47119,35.6169,-87.077
Meigs,47121,35.5128,-84.8134
Monroe,47123,35.4427,-84.2527
Montgomery,47125,36.4969,-87.3828
Moore,47127,35.2846,-86.3587
Morgan,47129,36.135,-84.6492
Obion,47131,36.3582,-89.1488
Overton,47133,36.345,-85.2881
Perry,47135,35.6426,-87.8589
Pickett,47137,36.5584,-85.0749
Polk,47139,35.1199,-84.5233
Putnam,47141,36.1408,-85.4952
Rhea,47143,35.6087,-84.9244
Roane,47145,35.8479,-84.5232
Robertson,47147,36.5255,-86.8706
Rutherford,47149,35.8427,-86.4167
Scott,47151,36.4285,-84.5035
Sequatchie,47153,35.3712,-85.4106
Sevier,47155,35.7846,-83.5242
Shelby,47157,35.184,-89.8955
Smith,47159,36.2505,-85.9567
Stewart,47161,36.5012,-87.8384
Sullivan,47163,36.5129,-82.3042
Sumner,47165,36.4694,-86.4604
Tipton,47167,35.4969,-89.7592
Trousdale,47169,36.3921,-86.1568
Unicoi,47171,36.1107,-82.4323
Union,47173,36.2879,-83.8375
Van Buren,47175,35.696,-85.4526
Warren,47177,35.6787,-85.7785
Washington,47179,36.2933,-82.4974
Wayne,47181,35.2399,-87.7881
Weakley,47183,36.2983,-88.7178
White,47185,35.9264,-85.4552
Williamson,47187,35.8938,-86.8986
Wilson,47189,36.1549,-86.2978
